reviewerID,reviewText,overall,asin,helpful,reviewerName,unixReviewTime,summary,reviewTime
AXKVVIF0WLWV,bad product wrong weld weld insid out side recomend use under car pleas dont make mistak weld right item weld both side insid out site insid pin second safeti pin good move hold post right noth make sens torin send back year annual inspect dont pay h shoul 1 ton 3 ton weld form item look use new look one use return sent up drop floor caus gate awar up dont care brake,1.0,B00026Z3DQ,"[7, 14]",ROBERT,1346198400,"BAD WELDED ,DONT BUY IT DANGER","08 29, 2012"
A2RW8UPMROVVH0,fram horrif histori manufactur oil filter fail filter leak poor job filter impur websit devot discuss oil oil filter fram product near univers critic avoid video onlin investig fram oil filter near univers negat purol wix napa mann mahl qualiti filter fram worst filter risk harm bike,1.0,B000276B2C,"[0, 12]",IngSoc,1374883200,Fram = Fail,"07 27, 2013"
A3RW6YDNILSLXP,devic attach secur tow vehicl cost cumbersom attach detach sever move part potenti scratch tow vehicl paint dure process don three hand avail attain secur vibrat free fit crank down ratchet web strap hard enough deform door attach window channel deform rubber window seal foam pad protect door somewhat bracket otherwis rub bodi area isn meticul clean beforehand see dull paint over time metal claw part fit window channel rais lower window caus screech sound driver side window final detach door make veri bulki awkward devic doesn store conveni compact vehicl m send back,2.0,B00029WRJQ,"[1, 1]","Amazon Customer ""Utah Pete""",1371513600,"Secure, but hard on the vehicle","06 18, 2013"
A7OG1Z5URP288,piec junk strap stretch plastic clip slip tighten dam thing fall drive tri type slide over exist mirror plastic screw back hold work well,1.0,B00029WRKU,"[0, 0]",Namu,1376697600,Junk,"08 17, 2013"
A2FX0I2H21YHD5,1 view surfac 8 inch mirror exact 7 5 inch wide 2 25 inch high 2 tri adjust mirror without mount ball joint mirror arm tight adjust extrem difficult near imposs wd40 work work joint around loosen up 3 tri adjust mirror mount risk stress mount button glue button fall 4 adjust mirror day night button kept flip veri annoy 5 mirror surfac itself veri good rippl,1.0,B00029WSVI,"[0, 0]","Jack Jones ""ReviewerJack""",1380931200,Buyer beware,"10 5, 2013"
A2H4OMJLE7JFM2,gave thing 2 star rate 8 set instal counti patrol car sure issu bulb burn out pretti rate one offic tell both light burnt out last night 01 23 2014 mayb 130 watt bulb get hot lost 8 10 bulb within year time hope kc read someth issu great power light reach out see those darn deer ahead safe mayb look anoth type light give longer servic life befor spend money,2.0,B0002CO9L2,"[1, 2]",Dan S. Birdsill,1390780800,OK but not Great,"01 27, 2014"
A1E3RTMBHQ2RJE,use decent look leather seat 2003 toyota sienna bought both cleaner condition use describ even suppos realiz made differ appear wise hope treatment help keep aliv longer regret buy,2.0,B0002F9YHI,"[1, 3]","Pen Name ""Turk""",1299715200,Did not make much difference,"03 10, 2011"
ADHA1W879JNT0,lexol leather ph cleaner spray offlin local auto part store glad start clean car first thing notic citrus smell sudden half through clean passeng front seat sprayer broke point white clean rag use still white given clean seat month return went onlin much research orderedgriot garag 11259 leather care spray kit well griot cleaner clean old grime leather seat clean lexol cleaner week earlier use varieti leather cleaner over year experi one absolut noth,1.0,B0002F9YIC,"[10, 14]",dash-o,1300579200,Does nothing for my car.  Returned.,"03 20, 2011"
A1E3RTMBHQ2RJE,use both cleaner condition describ make differ decent look leather seat 2003 sienna made differ realiz regret buy hope add life leather seat even though observ chang appear,2.0,B0002F9YIC,"[1, 2]","Pen Name ""Turk""",1299715200,Did not make a difference,"03 10, 2011"
A3FQWIO6UOXF4X,jack stand fell noth bare shook made china junk wast time valu life buy american jack stand,1.0,B0002H335A,"[2, 12]","Ron Dossey ""Ron""",1329955200,DO NOT BUY THESE THEY ARE NOT SAFE,"02 23, 2012"
A3KBUTSIFX0K9V,order paid next day air need weekend arriv wasn order order pair jack stand receiv engin hoist level understand mistak happen way return handl issu up drop take post offic send back wasn told ll wait ship right order until receiv back via slowest mail servic idea replac order arriv week two week wasn mistak even defect product human error part told d immedi ship replac next day order far m left hang go out local need end up extra set hold day re come next day don know point gave one star,1.0,B0002H335A,"[1, 13]",Steve,1336608000,Wrong item shipped after ordering NEXT DAY,"05 10, 2012"
A2V9ULRWMX9WEJ,use pickup truck get hard start rough idl decreas fuel economi past 6 month notic 2mpg drop fuel economi coupl friend use stuff claim success gave shot ad fuel tank half each crankcas air intak sit drove around smoke crazi promis now anecdot think smooth out idl haven hard start noth quantifi sure improv psycholog think truck run better wax use coincid end winter oper temperatur account improv see improv mpg stori end d give go work great didn lose much second tank use o2 sensor code replac downstream sensor fair truck 100k natur lifespan sensor alreadi notic drop mpg sensor way out same time think interest fail less 300 mile use product ve drive around diminish mpg sever thousand mile person belief big blast smoke push fail sensor over edg won use stuff again peopl fine luck worth risk,2.0,B0002JN2EU,"[0, 6]",Anonymous,1363132800,"No improvement, and I got  O2 Sensor Problems","03 13, 2013"
A7VHSWMVWRNUL,use both can product differ car product result tremend amount emiss be spew air suck vacuum system describ articl read product befor purchas addit creat air pollut draw angri stare neighbor simpli convinc product effect,1.0,B0002JN2EU,"[0, 0]",Saint Mary,1404950400,There has to be a better way...,"07 10, 2014"
A1F9Z42CFF9IAY,use year car dash vinyl area interior alway thought work protect pretti well although evapor insid windshield annoy doesn seem last veri long start wear dash look veri dri ve found303 aerospac protect 32oz work much better doesn seem exhibit aforement issu ie doesn seem go insid windshield shine last longer protect uv well better note vinylex contain silicon actual damag vinyl plastic over time m definit sold 303 protect over vinylex now although realli lexol ph leather cleaner lexol leather condition leather,2.0,B0002KKHS8,"[1, 3]",T. Tom,1361145600,"Not the best, contains silicones","02 18, 2013"
A1P12P4EU026XT,thing leak first use hose tight brake fluid leak everywher under hood lucki put 3 towel around brake fluid tank knew happen buy again,1.0,B0002KM5L0,"[0, 1]",C. Nguyen,1353628800,"inferior product, leaks on first use","11 23, 2012"
A1NUTYNSRRPXCU,swivel between cap tube bottl word screw unscrew cap onto car brake fluid contain kink tube itself untangl kink chore bottl both quit big heavi fill brake fluid design quick connect disconnect compressor air hose ideal solut guess add cost ad featur doubt cost much brows through air hose connector harbor freight run typic coupl buck each modifi bleeder air hose connector address problem,2.0,B0002KM5L0,"[0, 0]",Henry Ting,1403654400,"Functional, but one major flaw","06 25, 2014"
A2BVXEAKKI0PF6,qualiti bleeder awesom take hour upon hour plan actual use product bleed car brake fluid far better use buddi pump brake open bleeder valv press brake 5 10 time close bleeder valv repeat necessari higher amount fluid out each time use bleeder squeez top manag keep 14 psi 14 5 recommend vw mechan manual liter push out 10 drop minut aren sure bleed brake state abov go youtub ll see talk bleeder bottl find amazon item frequent bought item worth money,1.0,B0002KM5L0,"[1, 5]",Sean Whealton,1390348800,YOU DO NOT NEED THIS,"01 22, 2014"
A20S66SKYXULG2,test lead way wimpi automot use ifter coupl pull apart threw rest out low grade product,1.0,B0002KRABU,"[3, 3]",alphonse,1355356800,wimpy,"12 13, 2012"
A2LUV1LNOEBRGW,cheep,2.0,B0002KRABU,"[0, 0]",Claudia Bea Ehrlich,1404000000,Two Stars,"06 29, 2014"
A3NZQVGB1RYMOR,yes wire lead allig clip standard give good rate otherwis tri use jumper wire electr work useless much resist due veri small gaug wire shoddi connect make good clip hang paper lol,1.0,B0002KRABU,"[1, 2]",Patrick Freeman,1291680000,horrible,"12 7, 2010"
A1EGTFFB15TPG1,thing give pretti wide pattern be small tad bit brighter fog light exact need light feel well made sturdi wire har veri well made wire good qualiti fair long load wire goe switch relay long enough need extend need switch come kit realli nice led activ light that red light greeen light turn wont use edit crap light start leak seem weather strip insid around len way big doesnt seal right took light front bumper put rear bumper use revers light didnt give light output desir week be rear bumper fill up complet water even wors front bumper one len crack go contact compani seller see replac len read review befor purchas light greatest,2.0,B0002MA3P8,"[10, 11]",Chris,1304899200,CRAP,"05 9, 2011"
ATVU6OJLXAROA,mount bumper ford f250 24 ground close pavement mean hous start leak within week two be instal remov light tri seal black silicon still leak perhap leak chrome start flake within few week now veri good look light leak produc near help light won stay aim direct angl,1.0,B0002MA3P8,"[1, 2]","Nate ""aquan8tor""",1373155200,"Housing leaks, chrome flakes off in a few months","07 7, 2013"
A2H4OMJLE7JFM2,thing burn right left instal 8 patrol car don seem last more few month care order kc light 130 watt bulb light reach out good ve seen qualiti bulb leav much desir,2.0,B0002MADZ8,"[0, 0]",Dan S. Birdsill,1390780800,Questionable,"01 27, 2014"
A204K1OFE8OB9Y,veri well construct design flaw make useless intern plunger disc slot handl need engag disc perfect rod push greas disc greas load proper 4 standard greas gun work perfect want pistol grip pump one hand idea intend purpos have rod disengag plunger disc uniqu experi lincoln greas gun,1.0,B0002NYDZ8,"[0, 0]",Winter,1389398400,Going into the trash,"01 11, 2014"
A3FK1TTD6F8M0D,hard appli veri hard take go back suppli cabinet use out p21s definit pay case,2.0,B0002NYE5M,"[0, 0]","Brett Vogel ""EletronicMan7475""",1387497600,Stiff,"12 20, 2013"
A3LWR6L9ZPUSDZ,mayb didn see much differ 2010 370z babi decid three year time detail finish babi darn thing garag kept pretti clean start follow long involv instruct written one experienc review letter decid hood clean wax rest car comparison see differ hood definit higher gloss differ one notic mayb more notic older car fade paint wouldn wast time do again,2.0,B0002NYE5W,"[2, 5]",S. G. Coates,1375660800,Waste of time and money,"08 5, 2013"
A2NSCHJNZAAT28,plastic sandwich type holder flat 4 wire connector connector fit loos tilt angl result holder proper channel fit cover 4 wire connector bought channel provid cover veri small evid applic specif wast money buy differ mount bracket trailer place,1.0,B0002Q81W6,"[0, 1]","Db ""db3058""",1329782400,Garbage,"02 21, 2012"
A1Z7PH9LKWUUQ,m shock wire even though pictur show wire surpris dust cover appear integr pictur includ packag clamp itself self drill sheetmet screw mayb ll check back day see pictur chang descript updat reflect realiti case ll chang number star now m knock two star decept ad anoth star product realli be fair cheap piec opinion piec isn great valu price best fair yeah know re review price cheapli made product lack finish think bottom side ve solid instead have expos rib think includ screw appear stainless ve come appropri size washer distribut load plastic,2.0,B0002Q81W6,"[0, 0]","D. Sauer ""Unix Geek""",1343260800,"Decent clamp, not as pictured","07 26, 2012"
APVUOXZ3DTV37,bought amazon suggest bought along brake control need brake control mount fine includ hardwar,2.0,B0002Q81WG,"[1, 2]",Nicholas Hull,1372377600,No need for it,"06 28, 2013"
A15TFX82XKJS7T,sure adapt doesnt light up check suppos think suv audi doesnt support led verifi oper kept anyway work fine trailer light work,2.0,B0002RNSKK,"[1, 3]",infin,1356652800,Works only as an adapter,"12 28, 2012"
A2LB86SVX3NDV1,use leather cloth car seat veri cheapli made white lint pad come mess pick up leather cloth car seat go dollar store microfib cloth,2.0,B0002SPC2G,"[0, 0]",Person,1356998400,White lint comes off.,"01 1, 2013"
A3Q72JUMCBI9WK,use product rear disc brake calib big wast time push piston use 6in c clamp work out pretti well lisl disc brake pad spreader lis 24400,1.0,B0002SQU9K,"[0, 0]",bulldog,1380499200,BAD PRODUCT,"09 30, 2013"
AK9IG835URR77,tool work great first set pad went side thread rod broke loos knob recommend,1.0,B0002SQU9K,"[2, 2]",Stephen,1380240000,Junk,"09 27, 2013"
A2EHYCA29NSQLU,m buck trend favor review here give two star go easi smell decent excel clean capabl towel came out more black product assum indic remov lot oxid black rubber trim unfortun product last cover rubber plastic car two thorough coat soak settl day wash overwip streak nearbi bodi panel etc meguiar 40 wash complet left wors befor use product finish remain veri splotchi look bad even interior part appli 40 most wipe clean wipe damp towel use pick up accumul dust dirt remain splotchi minor nick scratch plastic rubber more 40 absorb overal veri unsatisfi result m go worst product use other use far away better includ 303 aerospac protect veri mild water base product doesn last better meguiar product sheen previous stapl recommend actual armor origin purchas guru report analysi type product sever year ago surpris old product one two best categori product along zaino over 50 test armor origin formul veri low sheen last sever wash 1 4 price less avail everywher m go back armor origin recommend tri perform better boutiqu product recommend use water base product perman trim rubber etc solvent petroleum base one tendenc degrad rubber plastic over time ok replac item tire part sever oxid general tell differ water base product milki color petroleum base one clear meguiar hot shine sever problem product,2.0,B0002SQYV4,"[18, 24]",Bud,1288742400,Very disappointed,"11 3, 2010"
A9GTZU854XN0G,dont buy product bought 2010 toyota corolla need special tool oil filter hous put insert wrench broke first turn wast money amazon return broken,1.0,B0002SR4AY,"[0, 0]",J. Tregaro,1343952000,HORRIBLE!!!! broke on first use,"08 3, 2012"
AH3QW8UQ4ULZN,3 thing 1 spring cheep instal incorrect snap unpack twist place right better way twist end toward insid more spring made cheep metal bend aluminum 2 size big regular car filter toyota honda motorcycl etc mayb 5lite 3500 util van enough filter diamet fit around huge suv pickup truck 3 remov work way around tight filter,1.0,B0002SR4PY,"[0, 4]",Batman,1325635200,Too big for regular car filters,"01 4, 2012"
A3L87SDQ2JEB93,thing few month work realli well take oil filter made through 3 4 filter until spring broke though don recommend buy,2.0,B0002SR4PY,"[0, 0]",James K. Johnson,1368316800,worked great until the spring broke,"05 12, 2013"
A2WBB8QN9S617,think fault read line descript befor buy saw word wide rang univers bite teeth miss work 3 1 8 3 7 8 inch sure ll use much use d hope,2.0,B0002SR4PY,"[1, 1]",Paul C,1312934400,3/4 inch of travel on something called Wide Range?,"08 10, 2011"
A13YI9ZAZX3WN9,first wrench work never easi use due need flare out first fit over filter point lost spring sure even detatch render complet useless end up buy coupl larg socket look one come three size fit common filter re bit cheaper buy multipl end up cost more work easili time,1.0,B0002SR4Q8,"[0, 1]",Amazon Customer,1368662400,"Jack of all trades, master of none","05 16, 2013"
A2970BXG7PDZ69,tool feel sturdi help end up be useless tool arsenal wouldn recommend hand tighten oil filter use textur one purol,2.0,B0002SR4Q8,"[0, 3]",mikeyill,1369440000,Didn't work,"05 25, 2013"
A1D9V4TAFTO6M2,ve use mityvac 7201 less 10 time treat veri care stuff still work poor selector valv use switch between evacu dispens ridicul difficult oper push lift selector valv oper twist push pull madman hope don break anyth includ finger loosen up somewhat spray valv silicon teflon spray oper repeat 1 still easi oper 2 shouldn expand plug expand evacu dispens remov pour fluid out ridicul difficult remov poor fit devic tube connector main evacu tube enter top unit leak put dispens mode pay over 27 replac tube connector kit 822566 unit out warranti replac tube connector tri dispens mode again found top plate leak notic befor explain alway took much pump evacu oil use dispens mode now main tube doesn leak anymor air oil come out under top plate remov top plate sure enough look ma seal bad enough seal mere fail seal includ first place inexcus didn notic problem sooner seal 822821 cost addit 13 includ ridicul 8 75 fee ship now ve ad replac ad top seal do test hear unit leak air top pump assembl give up thing great practic joke didn cost much money,2.0,B0002SR7TC,"[15, 16]",-1,1293926400,"A Low Quality, Overrated Sieve","01 2, 2011"
A2FUD7TNC8HRYG,work work pretti good chanc one miss o ring though sever peopl car forum member receiv defect item includ myself call custom servic multipl email went unansw told think miss o ring hold vaccum yep one right out ship back exchang veri rude seal gasket maker work now look terribl go differ unit beter qualiti control,1.0,B0002SR7TC,"[45, 50]","T. Meadows ""TM""",1219276800,"Horrible customer service, horrible quality control","08 21, 2008"
A2T9ECMEHSAIG5,use tool remov fuel line fuel filter chang omg under truck over hour wrestl eventu tool broke piec junk order metal sissor one amazon fuel line 2 minut liter heard click fuel filter came out save yourself time aggrev ford truck sissor tool plastic junk,1.0,B0002SRCK6,"[0, 0]",Dieselboy,1402876800,Terrible...just terrible!,"06 16, 2014"
AHCVXRSGA7VWU,tri chang out fuel filter 03 f150 veri nice bunch differ size noth grab onto onc slip over fuel line littl larger piec plastic grab generat enough forc pop back fuel line found harder push more tool sort open up finger direct behind wide end tool realli generat lot forc probabl pop fuel line easili way set up though more expens think larger aluminum one size tool seem way go actual someth hold onto add though feel fuel line bit rust gum up perhap under normal condit tool work without huge amount effort push hard though fuel line tool,2.0,B0002SRCK6,"[0, 0]",Matthew Dyer,1366156800,Didn't work for me,"04 17, 2013"
A1YUDSBH9P3HPN,decid need new seal puller pick up cheap here amazon tri pull two seal today tore through open easier use hammer chisel,2.0,B0002SRCKG,"[0, 0]",JJ,1402272000,Going to bury this one in the bottom of the tool box,"06 9, 2014"
A3NPP6SN6QGP8U,slip damag clamp well skin knuckl mayb place good access clamp work despir bought wast money,1.0,B0002SREPY,"[0, 0]",Alan Henderson,1389571200,another POS & waste of money,"01 13, 2014"
ABCD7NZQR8EH1,nice rig becom unhappi stick use cold weather below 40 sit seem stick stick back use tire inflat use tire pressur guag again entir reason thing pump air read done case stick lost faith,2.0,B0002SRL20,"[1, 2]",Brian,1386547200,I would not recommed it to a friend,"12 9, 2013"
AZP8DAHJCFWPH,return strobe light induct time light much easier batteri power made well sure devic fulli insert wire mine fell floor doubl check wire attach damag,2.0,B0002STSC6,"[1, 3]",beebop,1380672000,Inline Spark Tester,"10 2, 2013"
A36DFLISBU97Z4,bought first think good buy left glove box find one day bent last long storag bought digit tire pressur tread depth combo way better product look up accutir ms 48b digit combin tire thread depth gaug tire pressur gaug,1.0,B0002STSQM,"[0, 3]",James,1375747200,Cheap,"08 6, 2013"
A1XR5YY46VVIDH,far flimsi thing feel need pack gill order retain rectangular shape appreci type rubber velcro grip bottom slide around trunk light load job henc return same time didn expect 34 soft side 34 mean 34 collaps situat except fulli load,2.0,B0002TPVXA,"[0, 0]",iburke,1383523200,"Far too flimsy, doesn't retain shape, slides all over the place.","11 4, 2013"
A1F9Z42CFF9IAY,wish rigid divid instead fabric unit floppi general unless load up lot stuff tini more use standard duffel bag recommend spend bit more one snap 870116 21 inch trunk organ tool carrier much happier ridid seem hold much stuff,2.0,B0002TPVXA,"[0, 0]",T. Tom,1360972800,Good price but way too floppy,"02 16, 2013"
A34O0KQV4QXWNQ,realli wasn impress overal result polish part mother 3 step kit use 3 step still think better result tech wax,2.0,B0002U1TX0,"[1, 1]","Dako ""Dako""",1389571200,This 3-Step Process Seems Unimpressive To Me,"01 13, 2014"
AZ0KQBIH10HRN,five star review 409 work better clean up bike mother make part use look wet leav dirt beneath four star,1.0,B0002U1TZ8,"[0, 2]",scottie,1381104000,Four Stars...,"10 7, 2013"
A34O0KQV4QXWNQ,kit seem more hassl worth use one clay bar car finish inde smoother look exact same few littl spot sap came out here honest think same thing ve achiev goo gone windex,2.0,B0002U2V1Y,"[0, 1]","Dako ""Dako""",1389571200,"Got Out Some Particulate, But No Amazing Wonder To Me","01 13, 2014"
A3AO1KANO9RKHI,detail car aircraft forti year tri thing out far wax cleaner go m old school simoniz guy yea lot work work alway use cleaner first dupont work figur time tri someth new tri mother clay bar work well tri meguir clean wax stuff great tri klass real good stuff micro fiber more spend better clay joke,1.0,B0002U2V1Y,"[2, 22]",Gary,1340064000,Don't waste your money,"06 19, 2012"
A3NF8BL6489IZW,purchas product remov minor scratch ate through clearcoat left 400 damag auto detail look damag befor get fix ask product caus told 34 scratchx 2 0 34 repli 34 oh never even use stuff abras 34 bottom line experi product purchas under circumst unless veri experienc work car truli one star item avoid cost,1.0,B0002UNON8,"[0, 1]",ABM,1378512000,DO NOT USE!,"09 7, 2013"
AV8DFL38JP606,tri superfici scratch kept rub product sever time reappli 3 time scratch stil tri foam pad microfib pad microfib towel worst product meguair produc,1.0,B0002UNON8,"[1, 3]",ayam,1310342400,scratch x,"07 11, 2011"
A11YOTONCPRQ9S,rub buff product wax take lot rub against scratch appear do more harm good ad scratch fair dark vehicl m use hand foam applic never scratch finish wax find result good coat wax better job don add addit swirlmark scratch stuff work better power buffer hand pretti useless,1.0,B0002UNON8,"[0, 0]",P.L.,1335225600,Avoid,"04 24, 2012"
A1EMY19Z7WUDGC,doesn work worth darn regular wax work better product veri disappoint mequiar thought good brand go back turtl product now,1.0,B0002UNON8,"[0, 2]",Sandan,1365724800,Regular Wax Works Better,"04 12, 2013"
A30DF71BED07GG,titl wast time money calori 08 bmw 335i sport silver color long scratch similar those guy post product imag spent hour tri differ techniqu product simpli doesn work new car nice paint avoid buy work old car paint differ condit sorri p bought full set meguiar paint care find review product well actual work somewhat ultim wax clay kit contamin remov kit clay kit veri hard appli though work,1.0,B0002UNON8,"[3, 5]",V,1344902400,"Sorry, but did not work for me AT ALL. Time, money and calorie waste.","08 14, 2012"
A3QDPQBJAJC6C,realli impress product meguiar cleaner wax product much better job good car mine,2.0,B0002UQAM0,"[0, 2]",Jaco,1390780800,"Bleh, over rated","01 27, 2014"
ANJUT5JDG5RU1,product good outstand barri meguiar last long ve use both summer winter 6 week lost mani properti real world world barri meguiar wax car month want protect car true regardless price wax last mani month appli wax start degrad environ sun uv rain dust wash remov wax inevit part dust pollut pollut stick wax remov contamin remov wax,2.0,B0002UQATS,"[1, 7]","carlos ""cfg""",1291507200,good,"12 5, 2010"
A222QSFM3KE5KM,ve own wax time doesn last more month pain put take goe ok take anoth stori leav oili residu until wash car use numer towel microfib take much realli want rub paint residu black paint haven realli seen good protect element bird bug one postit smell good appli m sure meguiar ad fragranc market perspect price compar durabl stuff wast sure meguiar even put market,2.0,B0002UQATS,"[1, 4]",Rs,1361232000,Waste of time/money unless you really like waxing.,"02 19, 2013"
A1J1S9E53DNAP6,meguiar came out origin nxt around 2005 actual pretti good product greatest shine fair durabl easi appli sometim few year later nxt 2 0 introduc huge step backward although receiv high favor rate big consum magazin far one best product market version 2 0 veri poor gloss characterist dark color car durabl terribl liter more six week befor water stop sheet car maintain eight differ person car alway wax someth think high price multi step product much snake oil be sold outrag price trust ve tri good surfac prep key success wax synthet product involv clay light cut cleaner polish final way onc prep proper product realli well appli regular protect finish make futur prep unnecessari current favorit durabl shine turtl wax cleaner carnuba although good old meguiar cleaner purpl bottl still darn good product bargain price,2.0,B0002UQATS,"[3, 6]","tom4416 ""bookie monster""",1367452800,Two different products being reviewed here,"05 2, 2013"
A31H2D45PAR328,product easi appli easi wipe black car especi give nice deep glossi wet look shine leav more streaki oili finish switch over yellow carnuba wax differ night day full bottl longer use sit garag collect dust black car stick carunba wax instead synthet meguiar make great product one fail impress better shine meguiar cleaner wax nxt stuff friend introduc mother pure carnuba wax made switch brand mean shine stuff insan,2.0,B0002UQATS,"[12, 17]",viceversa,1260144000,Not as good as pure carnuba wax,"12 7, 2009"
A3HC55XYJEMQP6,buy meguiar da polish frequent bought togeth deal includ 6 5 finish pad 6 5 polish pad found out direct meguiar updat pad 7 includ recess make center polish back pad easier improv velcro back pad adhes new 7 pad actual machin washabl velcro pad attach far more secur older 6 5 pad lose velcro back due wash clean doubt mind pad materi high qualiti new 7 0 older 6 5 pad meguiar improv updat pad now recess back pad definit aid user center pad one featur alon make buy 7 0 pad brainer combin improv back pad adhes now slam dunk here link newest improv pad softbuff 2 0 foam polish pad 7 inchmeguiar w 9207 7 soft buff 2 0 foam finish pad,1.0,B0002UQAXY,"[1, 3]",Robo21,1351987200,"""DO NOT BUY THIS PRODUCT"" SAYS MEGUIARS!","11 4, 2012"
ALMIFFHNE45JX,bake oil stain tti ceram coat header 70 challeng caus leak rear main seal onc repair tri semichrom remov success again pull out mother although slow tedious job damag ceram coat screw lid mother make far better sens semichrom lid requir inconveni pri tool remov tend clobber lid caus seal well addit semichrom somewhat order twice expens purchas tube instead give tri save 15 dollar,2.0,B0002YUQ4E,"[0, 0]","Roger Schaaf ""Sxrxrnr""",1393113600,Mother's much better on aluminum valve covers and wheels on my cars,"02 23, 2014"
