reviewText,helpful,overall,reviewerID,unixReviewTime,asin,reviewerName,reviewTime,summary
i am use this on curt receiv and the length is perfect it appear to be of high qualiti construct with bit if weight to it and this design prevent ani rattl on bumpi road my onli complaint is that it get rust buildup insid the lock mechan after few month so you need to clean it period updat great deal of dirt has found it way into the lock mechan so i guess the fit is not secur like it should be also it is now rust which i find bit odd in all stainless construct i see the head design has chang base on the new pictur here so mayb the issu is fix now,"[0, 0]",2.0,A1HI4VM5Q4LUET,1272585600,B0000AXY62,Bongo,"04 30, 2010",Didn't hold up very well.
i purchas this base on the recommend of friend it work well and if you are veri certain your fresh wash car is free from all debri you will like not caus ani scratch howev if you pick up some rogu sand granul or some other debri you could caus clear coat damag after watch an episod of drive clean and see them use microfib towel in the same manner i made the switch it take littl longer but the microfib towel is margin safer on your precious paint job and if you re auto obsess it may be worth the extra time the microfib are also easier to clean just wash and dri and you are on your way this thing will get mold unless you let it dri out complet and is pain to wash by hand i still use it around the hous and it work well it just no longer get anywher near my new car,"[0, 0]",3.0,A2F2U4O1U6MN9J,1389916800,B0000AY3X0,L. Abate,"01 17, 2014","I used to love this, then I started using microfiber towels instead"
don whi peopl like this so much it s not bad i like genuin leather chamoi so much better becaus it doesn leav streak on glass window and it clean up the water and ani leftov dirt on the car better this product can get moldi becaus you have to store it damp in the plastic contain it come with,"[1, 2]",3.0,A3BXSR4ZFZS72V,1387756800,B0000AY3X0,RC,"12 23, 2013",?
i ve tri numer synthet dri towel and this one is ok this one seem to collect lot of dirt which is not good for your car to wipe with,"[0, 0]",3.0,A3Q15U42UMI6NP,1380758400,B0000AY3X0,Super User,"10 3, 2013",works ok
i am car rv detail guy my car and rv must be shine new all the time i thought i had found the best shine wax protect use an rv wax call protect all with uv inhibitor in it prior to tri this flagship wax and use it for year and it did the job and noth els on the market so i thought was go to top it for fiberglass i use mcguir fiberglass restor and that did the most amaz remov of oxid on an older rv i restor back to new so i knew it had to be good and tri it i ad revis review to end of origin review on this page well after appli this flagship wax to my alreadi clean and shini rv it took the shine to whole higher level 1st off it doe go on easi onc on it stay kind of moist like but drys soft like but it come off nice then i follow with 2nd dri cloth to make sure it complet off and shini and it doe come off easi and it doe clean finish up leav nice shini glaze surfac but you need to chang up rag often becaus it cake and smear if you dont i read review on amazon which entic me to give it tri one said dont let dri ani longer then 3 min and bottl claim same this is veri true i am so pleas at result the biggest improv was the nice gold paint bottom of the motorhom where the paint look good befor but now the paint look glaze shini and rich like i never was abl to get this high shine befor it also doe not cling to plastic window or rubber everyth it touch it come off of leav high shine on it so i use it on everyth now this is my revis review as of august 2013 after use this and like it at 1st i found it will continu to bead but water streak seem to stick and stay on wax surfac on fiberglass even wash wont remov them easi so i went back to use protect all on my rv it shine as well but also the water streak are minim after rain and wash off easier i also find the protect all brand wax to last long and come off cleaner after appli wax leav cleaner shine make it far easier to do big rv in less time then flagship wax i found flagship to be caki thick and harder to remov and have to constant get fresh rag to make it easi to get off so we tri it like it at first but then week or so later found the flagship to not be as good as what i use for year in the protect all brand i love mcguir product most time,"[14, 16]",2.0,A1P3RTQKM8BRBL,1369872000,B0000AY60S,Ed D,"05 30, 2013",This wax takes detailing to a higher level AT 1ST but quickly fades in time
they are bit slick and need to be sand blast or someth i would not buy these for ani tire size 15 inch or smaller get 4x4 cut it use it,"[2, 2]",3.0,A16A53XJMYEYJ2,1353542400,B0000AY9W6,A. Crandall,"11 22, 2012",not too bad
i use this for while though hollow plastic i felt it was design to hold camper from roll and it did one day i forgot to remov it when pull out and it seem to take veri littl pressur move forward to flatten it like pan cake so i though my 50 000 invest may be better serv with heavi duti galvan wheel chock that wont give in and even let me move over it by mistak and let me know it hold solid if i ever did again roll forward over it,"[0, 0]",2.0,A1P3RTQKM8BRBL,1396224000,B0000AY9W6,Ed D,"03 31, 2014",It went flat as a pan cake.
these were advertis as sold in pair yet onli one came i will need to order second i guess they also appear plastic,"[0, 0]",3.0,A2NKHNO8VA378W,1399939200,B0000AY9W6,"Ken Aries ""airball""","05 13, 2014",Advertise wrong
onli fair not veri durabl and do not fulli secur the trailer spend the extra and get the x block and or the fastaway we now use both fastway for intiial set and the x block for final lock in,"[0, 0]",2.0,AUZINV544Y1ZC,1375056000,B0000AY9W6,RDR,"07 29, 2013",Chock Blocks
the 34 feet 34 on this bar slide off the truck bed side and make it worthless when the ratchet is extend the mechan for that end up out of arm reach when stand outsid the truck,"[0, 0]",2.0,A2FKXF5PIY4XNT,1402185600,B0000AZ9KS,Dale L. Clark,"06 8, 2014",bad design
i bought this with cold winter in mind be in my car can be cold sometim after i cut the ignit off wait for someon the switch went bad after month of medium use 2 3 time week,"[0, 0]",3.0,AMGG5L7VFDEWM,1391040000,B0000DYVN9,Richie,"01 30, 2014",Decent for a NY winter
bit of let down here from all the review i thought mayb my search for the perfect nozzl would come to an end it didn the sequenc of spray pattern on this nozzl is not what you are use to sure it has uniqu abil to produc fine spray and fire hose kind of effect but when switch between pattern it pass most through various stream of concentr water that dench anyth in it way if you are tri not to splatter mud creat crater or wash away fesh plant seed this is not your nozzl mayb it make more sens on car,"[5, 5]",2.0,A1LAGS8H4A2DR7,1284595200,B0001L0DFA,Bill Nicholas,"09 16, 2010",Ok if you like to drench
i didn like this hose nozzl as much as other review for the price i was expect an amaz nozzl it is heavi sturdi and look like it will be veri durabl but i do not like the select of the spray pattern compar to the 5 hose nozzl at home improv store the rubber area are comfort to hang on to this would be great for wash car or big job like hose down pool or screen but for water pot plant and tree this nozzl put too much water down and creat splash,"[4, 5]",3.0,A1R377IPZOKLMM,1240272000,B0001L0DFA,"Gina B. ""It's a dry heat!""","04 21, 2009",Durable hose nozzle; but not the best ever
i m sure all of you out there that love your realli love them i have to go with the so so peopl here for year i have been fan of the littl 1 brass tip style nozzl but all of sudden can find them anymor isn that the way it work the pressur on the bon air doesn compar to those littl guy not to mention the price you get more water with the bon air but not the great pressur i have experienc from the littl tip style sprayer i consid my hous averag pressur not the greatest but not low so i figur with all the great review here it would work for me with my 3 4 hose disappoint no doubt it is qualiti and look like it will last forev i was surpris at how larg it actual is and mayb that has someth to do with the lack of pressur there is use for it for sure but i certain would not consid it dream nozzl in the least mayb it work like charm with home that have high pressur i would not recommend it for those of us with averag and low pressur unless you just want spayer that give you lot of water and so so pressur,"[4, 5]",3.0,A1U8VI6I2MFEU8,1221264000,B0001L0DFA,"Mona Lisa ""M.W.""","09 13, 2008",Nothin' To Write Home About........
i like the concept of this and bought two at the same time we have small ranch and vari water hose need we typic buy the 7 way adjust nozzl but i thought these would allow more versatil these nozzl perform well but not as good as convent nozzl for start there is no quick way to get the desir spray pattern you have to slowli rotat the head and stop when you think it is what you need often mess around fine tune it to tri and get the best result second none of the jet part of the adjust creat clean jet there is alway fine mist or errant second or third jet spray in differ direct at the same time these can not creat all the spray pattern found on 7 way nozzl and creat poor pattern on the one they can creat this is good idea but in realiti you are better off with 7 way nozzl,"[0, 0]",3.0,A2L42QEWR77PKZ,1375747200,B0001L0DFA,Tex,"08 6, 2013",Not as versatile as a conventional adjustable nozzle
you are better off go to your local depart store and buy the craftsman brand nozzl instead it is ident to this one except the green part is silver and it come with lifetim replac guarante unlik this bon air one it s also about the same price that said i prefer trigger type nozzl becaus to turn this off you have to rotat it sever revolut and then it doesn rememb the spray set you were at this type of nozzl may be good if you re hold it for long period of time water your garden or someth like that but for wash your car when you onli turn the water on period it doesn work as well as trigger type hose nozzl,"[0, 0]",2.0,A1F9Z42CFF9IAY,1383264000,B0001L0DFA,T. Tom,"11 1, 2013","Buy a Craftsman instead, it's the same with better warranty"
when look at these product simpli calcul the actual cost per squar foot for exampl this speaker kit contain 1 38 squar feet for around 22 buck price fluxuat like it stock or someth can u think of anyth that worth 15 dollar squar foot there are so mani cheaper altern dynamat is an awsom product and it doe work but for those of us not made of money search this butyl flash tape u will be glad u did,"[5, 8]",2.0,A15YJ2DV1S9ZP2,1313884800,B00020CATC,jdep,"08 21, 2011",APPLY COMMON SENSE
it work well i am surpris that someon els doe not make it cheaper it is veri low tech materi we use it in the door of friend car when speaker were replac and spent over 100 i bought three can of rubber undercoat at walli world for about 5 per can and my door were just as quiet i guess it is just person prefer and econom prioriti for me the extra 85 in the pocket was better my friend well he spend money like drunken sailor not to offend ani drunken sailor out there,"[23, 28]",3.0,A1QOIHVQC5XWCJ,1260662400,B00020CAUG,"A. LOCOCO ""TDB, LLC.""","12 13, 2009",It is OK if you have more money than sense.
i have an fj cruiser it s not quiet vehicl i accept that i have been work on upgrad my stereo system replac the head unit put in 6x9 speaker in the door etc well the 6x9s are much more respons than the stock speaker were especi in the lower frequenc so i develop buzz i bought the dynamat to see if i could get rid of that after i tighten everyth that i could find instal was easier than i fear thank for the tenni ball tip btw as far as the real result though i m not sure that i ve notic real differ in sound qualiti nois or heat perhap some the rattl has reduc but not elimin doe the product work possibl it s hard for me to say either way,"[0, 1]",3.0,AYINNKPX9D60N,1373328000,B00020CAUG,Luc S,"07 9, 2013",Easier to install than I thought - usefulness still TBD
i return becaus it is just too much work to instal and i find it hard to believ they would make much differ,"[0, 2]",1.0,A1EMY19Z7WUDGC,1400198400,B00020CAUG,Sandan,"05 16, 2014",Not for Me
i use this on the interior wall of the air chamber of my fireplac insert to absorb the blower nois i did not notic dramat differ it is on the bottom of the plenum where the cool air goe in not in the top portion there were no problem with odor or melt from the heat radiat through the bottom i don know what would happen if i burn wood without turn on the blower,"[0, 5]",3.0,A32GW1R9MW0XOH,1301097600,B00020CAVA,"Chuck Pearson ""Chuck Pearson""","03 26, 2011",No Big Effect
doe not make notic enough differ in sound qualiti to justifi it s cost i instal it insid of my door use the roller and lot of elbow greas all part of the dynamat that i instal have good contact with the metal i would return this but it is stuck to my car door,"[1, 1]",1.0,A3F3K0YC4VV0Q7,1401580800,B00020CB2S,carguy,"06 1, 2014",Not Worth It
you d better trust your jack stand if you have ani intent of get under your car i thought these were good option but i chang my mind after receiv them for whatev reason justifi or not i felt uneasi see how much they rattl i decid to take my car to the mechan and end up never use them i forgot to return them and then it was too late so two star becaus they do not inspir me ani confid,"[1, 3]",2.0,ANW6EGY12V5XS,1395187200,B00026Z3DQ,Henri Savin,"03 19, 2014",Never used... Feel a bit flimsy
the first time i use it out of the box one stand s neck is broken i decid this brand is the one i should avoid and let my friend know it,"[7, 7]",1.0,A1R4R7Y8M8THQ8,1358467200,B00026Z3DQ,reverseC,"01 18, 2013",I returned it because
bad product wrong weld it onli weld insid but not out side so is not recomend to use it under car pleas dont make my mistak is not weld right this item have to be weld in both side insid and out site not onli insid the pin or second safeti pin is not good at all it move and doe not hold the post right it like noth so doe not make sens to have it torin want to send it back everi year for annual inspect but they dont pay for s h this shoul be 1 ton not 3 ton with this weld form my item look use not new look s like some one use it and return and then they sent them to me the up drop it to the floor caus i have gate so be awar of up they dont care if they brake it,"[7, 14]",1.0,AXKVVIF0WLWV,1346198400,B00026Z3DQ,ROBERT,"08 29, 2012","BAD WELDED ,DONT BUY IT DANGER"
fram has horrif histori of manufactur oil filter that fail their filter leak and do poor job at filter impur there are websit devot to discuss oil and oil filter and fram product are near univers critic and avoid there are also video onlin that investig fram oil filter and they are near all univers negat purol wix napa mann mahl are some qualiti filter fram are the worst filter and you are risk harm your bike,"[0, 12]",1.0,A2RW8UPMROVVH0,1374883200,B000276B2C,IngSoc,"07 27, 2013",Fram = Fail
the materi seem durabl but it doe not fit tight on my 30x9 5x15 there is almost no elast properti for the interior and it would easili spin on the tire itself and steal it would be ridicul easi the bottom look like granni panti on supermodel couldn see that delight bottom curv i use grommett kit on it so i can thread rope around it to cinch it tight has fade to charcoal gray from black sinc purchas 18 month ago,"[0, 0]",3.0,A28AHI180H69GK,1367107200,B00029J2GW,68redcedar,"04 28, 2013",Fits loosely on my 30x9.5x15 spare
this was easi to instal and fit my mazda cx 5 i think i receiv size c i put it on but it look littl cheap and most just weird my sister describ it as look like intestin i decid to find one that i can sew on on ebay,"[0, 0]",3.0,A1UX9PW1DTT880,1365984000,B00029KA6S,BChicago,"04 15, 2013",Fits Mazda CX-5 but I don't like the style
wish this was larger piec seem veri expens to get such small bit of this materi we use it to protect wall barrier within the wall behind woodstov where the pipe come through,"[0, 0]",3.0,A3SZXYX9YEDGT6,1374364800,B00029KC2K,"Addison Dewitt ""I'm nobody's fool.""","07 21, 2013","Great protection, a bit small for the money."
item was use for the back of saddlebag for my moto they work well the onli issu that i had was littl transfer on the muffler guard but it clean up nice,"[0, 1]",3.0,A3HP5XBZIBOVXM,1369008000,B00029KC2K,"Nathaniel Palmer ""Nathaniel Palmer""","05 20, 2013",Not Bad
this is good outer cover for header wrap howev it is not that pliabl and will kink around tight bend the glue in few section of the tape did not stick veri well,"[1, 1]",3.0,A2YEFJMLQTZZWE,1359676800,B00029KC2U,A. Westner,"02 1, 2013",It's OK
this devic attach secur to the tow vehicl but at cost they are cumbersom to attach and detach with sever move part and the potenti to scratch the tow vehicl paint dure either process if you don have three hand avail to attain the secur vibrat free fit you must crank down on the ratchet web strap hard enough to deform the door where it attach to the window channel it also deform the rubber window seal foam pad protect the door somewhat where the bracket would otherwis rub on the bodi but if the area isn meticul clean beforehand i can see where it would dull the paint over time becaus of the metal claw part that fit into the window channel rais and lower the window caus screech sound on my driver s side window final when they are detach from the door they make for veri bulki awkward devic that doesn store conveni or compact in the vehicl i m send them back,"[1, 1]",2.0,A3RW6YDNILSLXP,1371513600,B00029WRJQ,"Amazon Customer ""Utah Pete""","06 18, 2013","Secure, but hard on the vehicle"
this is piec of junk the strap stretch the plastic clip slip off while tighten and the dam thing fall off while drive tri to get the type that slide over the exist mirror and have plastic screw in the back to hold it on they do work well,"[0, 0]",1.0,A7OG1Z5URP288,1376697600,B00029WRKU,Namu,"08 17, 2013",Junk
1 the view surfac of the 8 inch mirror is exact 7 5 inch wide and 2 25 inch high 2 i tri adjust of the mirror without mount it the ball joint on the mirror arm are so tight that adjust is extrem difficult to near imposs wd40 did not work neither did work the joint around to loosen them up 3 so if you tri to adjust the mirror after it s mount you risk stress the mount button glue and the button may fall off 4 when adjust the mirror the day night button kept flip on off veri annoy 5 the mirror surfac itself is veri good no rippl,"[0, 0]",1.0,A2FX0I2H21YHD5,1380931200,B00029WSVI,"Jack Jones ""ReviewerJack""","10 5, 2013",Buyer beware
it fucntion ok for be all plastic and for the price i wont complain,"[2, 2]",3.0,A1EPXD0829IE73,1288742400,B00029WT08,Dev Laur,"11 3, 2010",Its plastic...but its ok
almost noth to it mass wise has an adhes disc on the back approxim 1 5 across slight off center the actual mirror part thought seem to be silver plastic no surpris but arriv with what appear to be scuf direct from the packag itself as long as there isn light sourc in the reflect it s bare notic but it s there,"[0, 0]",3.0,A1RC66SHG2VWDR,1342137600,B00029WT08,"Ryan Pomaski ""TechnologyWhore""","07 13, 2012",Arrived a little scuffed
i have two complaint about this product the first may be fluke but the someth is someth you should be awar of befor you buy this issu 1 arriv scratch becaus of no protect coat the mirror arriv in blister pack which is fine but had lot of abrass scratch on the front of it which is not it isn bad enough to warrant the hassl of return for product this cheap but i am certain disappoint sinc i onli bought one i don know if this scratch is trend but i kind of suspect that it is becaus of the lack of protect film issu 2 object in mirror are much closer than they appear it make thing look tini this may be fine if you are use this to see car but to see peopl come from behind you in an offic environmnet it is larg ineffect though i usual am big fan of buy onlin from amazon com this item might be better purchas in brick and mortar store so you can see how it will look and ensur it isn scratch,"[5, 7]",3.0,A11I1I9QLMAM1A,1254268800,B00029WT08,S. Power,"09 30, 2009",Arrived scratched and makes objects much smaller than they are.
these work and are use but i bought them for my mazda cx 5 and decid to get smaller and thinner mirror these would be littl too big for my mirror,"[0, 0]",3.0,A1UX9PW1DTT880,1365984000,B00029WVI8,BChicago,"04 15, 2013",Too thick for me
these littl mirror are real life saver but this one could be good 30 bigger and one of them was immedi scrape off in the car wash so stronger glue is also need,"[13, 14]",3.0,A3APEIJOQXE142,1159401600,B00029WVIS,"Daniel Attila ""Daniel Attila""","09 28, 2006",Could be  better
not bad mirror it s just littl on the larg size for my side view mirror but i m get use to it,"[0, 0]",3.0,A173EKJB16F514,1400803200,B00029WVIS,"JP ""jp""","05 23, 2014",Large
the cleaner run out long befor the oil my son is now use degreas to clean and k n oil to re coat i may tri this when this order run out of cleaner 5 star for the oil 3 total becaus of the ratio of oil to cleaner,"[0, 0]",3.0,A2X66A9HPMDH8T,1400544000,B00029WYEY,M Spaulding,"05 20, 2014",Poor Ratio
honesti must work i haven use it yet what i use was the k n filter for kia soul 2012 and was not good my mpg went down too much so i remov and put back the origin i was make 22 to 23 mpg in citi and with that oil filter came to 18 to 20 in citi i was plan to buy anoth for my elantra 2008 but with this test on the kia noway jose good bye to k n filter i don have ani thing against the compani filter or amazon for me it doesn work btw you have to spend time clean and buy quimic like those two bottl and could hurt your engin besid what expert or fan could say,"[0, 1]",3.0,AXKVVIF0WLWV,1398643200,B00029WYVW,ROBERT,"04 28, 2014",Ok
bought this for my kawasaki mean streak want lud horn this one is veri loud and i rate it at 3 star onli becaus of the tone i order low tone but this one would be high tone in my opinion sound veri sissi like but it is loud it would be nice to find true horn aftermarket like the factori one oh well this will work,"[0, 0]",3.0,A5MU2BHNUOOR9,1396915200,B00029XGIM,Az Writes..,"04 8, 2014",It works
i gave these thing 2 star rate becaus we have 8 set of them instal on our counti patrol car not sure what the issu is but the bulb are burn out at pretti often rate i just had one offic tell me both his light burnt out last night 01 23 2014 mayb the 130 watt bulb is just get too hot but we have lost about 8 to 10 bulb within year time hope kc read this and can do someth about that issu other than that they are great power light that reach out so you can see those darn deer ahead of you be safe and mayb look for anoth type of light that will give you longer servic life befor you spend the money on these,"[1, 2]",2.0,A2H4OMJLE7JFM2,1390780800,B0002CO9L2,Dan S. Birdsill,"01 27, 2014",OK but not Great
have not in stall this product yet but look like it will do exact what i need it to do,"[0, 0]",3.0,A2I745TXXUTMDJ,1398729600,B0002F68FO,John Henderson,"04 29, 2014",looks great
i bought this base on the review though it seem to condit the leather it didn realli seem to buff up the finish and restor my leather to it origin or near new condit after clean all the floor in my home and all of my car s leather interior i follow the direct on the packag for condit and protect the leather seat in my car while it doe make the leather more suppl and soft it doesn buff up to shine or even satin finish instead it seem to leav dull chalki finish,"[1, 1]",3.0,A19RPDCMN4HJ8M,1399420800,B0002F9YHI,"artfulshopper ""artfulshopper""","05 7, 2014",Lexol Conditioner
so i appli this accord to instruct and wipe it off with dri cloth like it said but the surfac was sticki and left white resedu that i cant wash off,"[1, 5]",3.0,AH3QW8UQ4ULZN,1334793600,B0002F9YHI,Batman,"04 19, 2012",No noticable difference
edit 09 2013 reduc to 3 star this stuff realli isn for dy leather my grey auto seat start leak strang purpl color i clean this stuff off use the lexol cleaner and switch to leather honey the purpl s disappear most but still come back when the seat get littl wet not sure if the lexol caus it but definit wasn help the leather honey get 5 star all the way for protect but it bit tougher to appli neighbor had same problem with lexol on their dy leather seat origin review have custom grey katzin leather in my jeep wrangler bit over 1 yr old as of this post when i talk to the instal about care and likelihood of get wet either mud or rain he mention good qualiti condition should help mitig ani potenti damag and suggest lexol i appli the lexol condition about onc month use the same rag which has becom good and satur over time i ve had few bout with mud over the last year or so and each time the lexol cleaner follow up with the condition work great even after few day of mud dri cake on the seat last weekend i left the door and top off and got good rain over night i walk out in the morn to tie dye look leather seat combin of purpl pink grey and about an inch of water pool in each within few hour the leather return to normal color and after quick coat of lexol look brand new again high recommend this product,"[2, 2]",3.0,A1UW4VBMD050YI,1372204800,B0002F9YHI,M,"06 26, 2013",Jeep Leather Seats
i use it on decent look leather seat of 2003 toyota sienna i bought both the cleaner and the condition and use them as describ even if they did what they are suppos to do i did not realiz that it has not made differ appear wise hope the treatment will help keep them aliv longer do i regret buy them no i do not,"[1, 3]",2.0,A1E3RTMBHQ2RJE,1299715200,B0002F9YHI,"Pen Name ""Turk""","03 10, 2011",Did not make much difference
we tri lexol in vehicl leather seat applic favor it price over the more expens urad product the lexol didn seem to have as much lanolin as the urad and we don know if there is ani carnauba wax in the lexol product but we note there was less post applic sheen with the lexol product if you can stand the higher price tri the urad product at least onc if you re long time hard core lexol user stay with it it seem to work ok you realli can get too work abut leather condition polish can you but we prefer urad have tri both,"[0, 1]",3.0,A1XYOVJW5J06X5,1357689600,B0002F9YHI,Pragmatic,"01 9, 2013","Tried Lexol based upon positive reviews here, but still prefer URAD Leathercare Cream"
this product work just as well as other condition i have use at higher and lower price it was conveni to order and not have to go to the store and buy someth for my leather boot,"[0, 0]",3.0,A3AY333WHF4H3E,1395014400,B0002F9YHI,Russell Johnson,"03 17, 2014",leather conditioner
i got this lexol leather ph cleaner spray offlin at local auto part store and i am glad i did i start clean my car and the first thing i notic is the citrus smell sudden half through clean the passeng front seat the sprayer broke at this point the white clean rag i was use was still white and given i had not clean the seat in month i just return it so i went onlin and after much research orderedgriot s garag 11259 leather care spray kit well the griot cleaner clean old grime of the leather seat i had clean with the lexol cleaner week earlier i have use varieti of leather cleaner over the year and in my experi this one doe absolut noth,"[10, 14]",1.0,ADHA1W879JNT0,1300579200,B0002F9YIC,dash-o,"03 20, 2011",Does nothing for my car.  Returned.
i use both the cleaner and the condition as describ but they did not make differ on decent look leather seat in my 2003 sienna if they made differ i have not realiz it i do not regret buy these i hope they will add to the life of the leather seat even though i have not observ chang in appear,"[1, 2]",2.0,A1E3RTMBHQ2RJE,1299715200,B0002F9YIC,"Pen Name ""Turk""","03 10, 2011",Did not make a difference
direct say work into foam which never happen i think i could have use tap water and got same result,"[0, 0]",3.0,A2LB86SVX3NDV1,1356998400,B0002F9YIC,Person,"01 1, 2013",Wasn't impressed.
the jack stand fell with noth on them when i bare shook them made in china junk wast of time if you valu your life buy american jack stand,"[2, 12]",1.0,A3FQWIO6UOXF4X,1329955200,B0002H335A,"Ron Dossey ""Ron""","02 23, 2012",DO NOT BUY THESE THEY ARE NOT SAFE
i order and paid for next day air becaus i need it this weekend it arriv but it wasn what i order i order pair of jack stand i receiv an engin hoist level i understand mistak happen but it was the way the return has been handl that i have issu with up drop it off but i have to take it to the post offic to send it back and i wasn told if they ll wait to ship the right order until they receiv this back via the slowest mail servic so i have no idea when the replac order will arriv week two week this wasn my mistak or even defect product this was human error on their part they should have told me they d immedi ship the replac next day like i order so far i m left hang should i go out local and get what i need and then end up with an extra set should i hold off day becaus they re come next day i don know and that s the point and that s whi i gave them one star,"[1, 13]",1.0,A3KBUTSIFX0K9V,1336608000,B0002H335A,Steve,"05 10, 2012",Wrong item shipped after ordering NEXT DAY
i have had no problem use these and they work as describ i do not like though that you have to hammer in the retain tab to prevent the platform arm from come out i also do not see how these are realli doubl lock i wish they came with adapt for the saddl sinc the saddl area is pretti big but i knew that these weren complet flat saddl i made an adapt i would recommend them but know what you are get befor you pull the trigger on get them,"[6, 8]",3.0,A2LGGKMLUDG9QN,1322870400,B0002H335A,Tim,"12 3, 2011",works well but design not really to my liking
the wire use to make these test lead was not test lead wire it is much stiffer when attach the lead to small circuit board you may need to support the lead so they do not tip the board on an angl,"[0, 0]",3.0,A8P6GIIQ6YQV8,1390867200,B0002JJU1Y,Mikkel,"01 28, 2014",Wire too stiff!
these do not have the stackabl banana plug as pictur from amazon com you need to view the custom s pictur to see how these look the build qualiti is cheap the qualiti of the wire itself is not as flexibl as dmm test lead i use these on bench power suppli i will never use these on dmm if you plan on use these on dmm i would high recommend you buy some fluke test lead,"[0, 0]",3.0,AN30G4IKL1BMZ,1383955200,B0002JJU1Y,Stanward S. M. Oshiro,"11 9, 2013",Not the greatest.....not the worst.
as filler goe this stuff is veri conveni as it s premix and out of tube howev it doesn take long out of the tube to set up with this said onli use this stuff on veri veri small job,"[6, 6]",3.0,AWBEL8741Y0IR,1367971200,B0002JM8PY,DJ,"05 8, 2013","Convenient, but..."
like so mani with odyssey transmiss problem i tri this product as last ditch effort it doe appear to smooth the transmiss to some degre but it doesn make the bigger issu with the shudder go away obvious this is not miracl fluid and work within the boundari of somewhat normal function transmiss i believ my problem is with the torqu convert which this fluid can not 34 magic 34 fix,"[0, 1]",3.0,A2ZDGCX1IV586H,1370822400,B0002JMLQU,Michael Payne,"06 10, 2013",This didnt fix my shudder with an 2006 Honda Odyssey
