PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Desk
208,1,3,0,26.0,0,0,18.7875,2,2
209,1,3,3,16.0,0,0,7.75,4,2
210,1,1,0,40.0,0,0,31.0,2,8
211,0,3,0,24.0,0,0,7.05,1,2
212,1,2,3,35.0,0,0,21.0,1,2
213,0,3,0,22.0,0,0,7.25,1,2
214,0,2,0,30.0,0,0,13.0,1,2
215,0,3,0,30.0,1,0,7.75,4,2
216,1,1,3,31.0,1,0,113.275,2,7
217,1,3,3,27.0,0,0,7.925,1,2
218,0,2,0,42.0,1,0,27.0,1,2
219,1,1,3,32.0,0,0,76.2917,2,7
220,0,2,0,30.0,0,0,10.5,1,2
221,1,3,0,16.0,0,0,8.05,1,2
222,0,2,0,27.0,0,0,13.0,1,2
223,0,3,0,51.0,0,0,8.05,1,2
224,0,3,0,30.0,0,0,7.8958,1,2
225,1,1,0,38.0,1,0,90.0,1,2
226,0,3,0,22.0,0,0,9.35,1,2
227,1,2,0,19.0,0,0,10.5,1,2
228,0,3,0,20.0,0,0,7.25,1,2
229,0,2,0,18.0,0,0,13.0,1,2
230,0,3,3,30.0,3,1,25.4667,1,2
231,1,1,3,35.0,1,0,83.475,1,2
232,0,3,0,29.0,0,0,7.775,1,2
233,0,2,0,59.0,0,0,13.5,1,2
234,1,3,3,5.0,4,2,31.3875,1,2
235,0,2,0,24.0,0,0,10.5,1,2
236,0,3,3,30.0,0,0,7.55,1,2
237,0,2,0,44.0,1,0,26.0,1,2
238,1,2,3,8.0,0,2,26.25,1,2
239,0,2,0,19.0,0,0,10.5,1,2
240,0,2,0,33.0,0,0,12.275,1,2
241,0,3,3,30.0,1,0,14.4542,2,2
242,1,3,3,30.0,1,0,15.5,4,2
243,0,2,0,29.0,0,0,10.5,1,2
244,0,3,0,22.0,0,0,7.125,1,2
245,0,3,0,30.0,0,0,7.225,2,2
246,0,1,0,44.0,2,0,90.0,4,2
247,0,3,3,25.0,0,0,7.775,1,2
248,1,2,3,24.0,0,2,14.5,1,2
249,1,1,0,37.0,1,1,52.5542,1,7
250,0,2,0,54.0,1,0,26.0,1,2
251,0,3,0,30.0,0,0,7.25,1,2
252,0,3,3,29.0,1,1,10.4625,1,6
253,0,1,0,62.0,0,0,26.55,1,2
254,0,3,0,30.0,1,0,16.1,1,2
255,0,3,3,41.0,0,2,20.2125,1,2
256,1,3,3,29.0,0,2,15.2458,2,2
257,1,1,3,30.0,0,0,79.2,2,2
258,1,1,3,30.0,0,0,86.5,1,9
259,1,1,3,35.0,0,0,512.3292,2,2
260,1,2,3,50.0,0,1,26.0,1,2
261,0,3,0,30.0,0,0,7.75,4,2
262,1,3,0,3.0,4,2,31.3875,1,2
263,0,1,0,52.0,1,1,79.65,1,5
264,0,1,0,40.0,0,0,0.0,1,9
265,0,3,3,30.0,0,0,7.75,4,2
266,0,2,0,36.0,0,0,10.5,1,2
267,0,3,0,16.0,4,1,39.6875,1,2
268,1,3,0,25.0,1,0,7.775,1,2
269,1,1,3,58.0,0,1,153.4625,1,2
270,1,1,3,35.0,0,0,135.6333,1,2
271,0,1,0,30.0,0,0,31.0,1,2
272,1,3,0,25.0,0,0,0.0,1,2
273,1,2,3,41.0,0,1,19.5,1,2
274,0,1,0,37.0,0,1,29.7,2,2
275,1,3,3,30.0,0,0,7.75,4,2
276,1,1,3,63.0,1,0,77.9583,1,7
277,0,3,3,45.0,0,0,7.75,1,2
278,0,2,0,30.0,0,0,0.0,1,2
279,0,3,0,7.0,4,1,29.125,4,2
280,1,3,3,35.0,1,1,20.25,1,2
281,0,3,0,65.0,0,0,7.75,4,2
282,0,3,0,28.0,0,0,7.8542,1,2
283,0,3,0,16.0,0,0,9.5,1,2
284,1,3,0,19.0,0,0,8.05,1,2
285,0,1,0,30.0,0,0,26.0,1,8
286,0,3,0,33.0,0,0,8.6625,2,2
287,1,3,0,30.0,0,0,9.5,1,2
288,0,3,0,22.0,0,0,7.8958,1,2
289,1,2,0,42.0,0,0,13.0,1,2
290,1,3,3,22.0,0,0,7.75,4,2
291,1,1,3,26.0,0,0,78.85,1,2
292,1,1,3,19.0,1,0,91.0792,2,9
293,0,2,0,36.0,0,0,12.875,2,7
294,0,3,3,24.0,0,0,8.85,1,2
295,0,3,0,24.0,0,0,7.8958,1,2
296,0,1,0,30.0,0,0,27.7208,2,2
297,0,3,0,24.0,0,0,7.2292,2,2
298,0,1,3,2.0,1,2,151.55,1,2
299,1,1,0,30.0,0,0,30.5,1,2
300,1,1,3,50.0,0,1,247.5208,2,9
301,1,3,3,30.0,0,0,7.75,4,2
302,1,3,0,30.0,2,0,23.25,4,2
303,0,3,0,19.0,0,0,0.0,1,2
304,1,2,3,30.0,0,0,12.35,4,5
305,0,3,0,30.0,0,0,8.05,1,2
306,1,1,0,1.0,1,2,151.55,1,2
307,1,1,3,30.0,0,0,110.8833,2,2
308,1,1,3,17.0,1,0,108.9,2,2
309,0,2,0,30.0,1,0,24.0,2,2
310,1,1,3,30.0,0,0,56.9292,2,5
311,1,1,3,24.0,0,0,83.1583,2,2
312,1,1,3,18.0,2,2,262.375,2,9
313,0,2,3,26.0,1,1,26.0,1,2
314,0,3,0,28.0,0,0,7.8958,1,2
315,0,2,0,43.0,1,1,26.25,1,2
316,1,3,3,26.0,0,0,7.8542,1,2
317,1,2,3,24.0,1,0,26.0,1,2
318,0,2,0,54.0,0,0,14.0,1,2
319,1,1,3,31.0,0,2,164.8667,1,2
320,1,1,3,40.0,1,1,134.5,2,5
321,0,3,0,22.0,0,0,7.25,1,2
322,0,3,0,27.0,0,0,7.8958,1,2
323,1,2,3,30.0,0,0,12.35,4,2
324,1,2,3,22.0,1,1,29.0,1,2
325,0,3,0,30.0,8,2,69.55,1,2
326,1,1,3,36.0,0,0,135.6333,2,2
327,0,3,0,61.0,0,0,6.2375,1,2
328,1,2,3,36.0,0,0,13.0,1,7
329,1,3,3,31.0,1,1,20.525,1,2
330,1,1,3,16.0,0,1,57.9792,2,9
331,1,3,3,30.0,2,0,23.25,4,2
332,0,1,0,46.0,0,0,28.5,1,2
333,0,1,0,38.0,0,1,153.4625,1,2
334,0,3,0,16.0,2,0,18.0,1,2
335,1,1,3,30.0,1,0,133.65,1,2
336,0,3,0,30.0,0,0,7.8958,1,2
337,0,1,0,29.0,1,0,66.6,1,2
338,1,1,3,41.0,0,0,134.5,2,5
339,1,3,0,45.0,0,0,8.05,1,2
340,0,1,0,45.0,0,0,35.5,1,11
341,1,2,0,2.0,1,1,26.0,1,10
342,1,1,3,24.0,3,2,263.0,1,2
343,0,2,0,28.0,0,0,13.0,1,2
344,0,2,0,25.0,0,0,13.0,1,2
345,0,2,0,36.0,0,0,13.0,1,2
346,1,2,3,24.0,0,0,13.0,1,10
347,1,2,3,40.0,0,0,13.0,1,2
348,1,3,3,30.0,1,0,16.1,1,2
349,1,3,0,3.0,1,1,15.9,1,2
350,0,3,0,42.0,0,0,8.6625,1,2
351,0,3,0,23.0,0,0,9.225,1,2
352,0,1,0,30.0,0,0,35.0,1,2
353,0,3,0,15.0,1,1,7.2292,2,2
354,0,3,0,25.0,1,0,17.8,1,2
355,0,3,0,30.0,0,0,7.225,2,2
356,0,3,0,28.0,0,0,9.5,1,2
357,1,1,3,22.0,0,1,55.0,1,5
358,0,2,3,38.0,0,0,13.0,1,2
359,1,3,3,30.0,0,0,7.8792,4,2
360,1,3,3,30.0,0,0,7.8792,4,2
361,0,3,0,40.0,1,4,27.9,1,2
362,0,2,0,29.0,1,0,27.7208,2,2
363,0,3,3,45.0,0,1,14.4542,2,2
364,0,3,0,35.0,0,0,7.05,1,2
365,0,3,0,30.0,1,0,15.5,4,2
366,0,3,0,30.0,0,0,7.25,1,2
367,1,1,3,60.0,1,0,75.25,2,7
368,1,3,3,30.0,0,0,7.2292,2,2
369,1,3,3,30.0,0,0,7.75,4,2
370,1,1,3,24.0,0,0,69.3,2,9
371,1,1,0,25.0,1,0,55.4417,2,5
372,0,3,0,18.0,1,0,6.4958,1,2
373,0,3,0,19.0,0,0,8.05,1,2
374,0,1,0,22.0,0,0,135.6333,2,2
375,0,3,3,3.0,3,1,21.075,1,2
376,1,1,3,30.0,1,0,82.1708,2,2
377,1,3,3,22.0,0,0,7.25,1,2
378,0,1,0,27.0,0,2,211.5,2,2
379,0,3,0,20.0,0,0,4.0125,2,2
380,0,3,0,19.0,0,0,7.775,1,2
381,1,1,3,42.0,0,0,227.525,2,2
382,1,3,3,1.0,0,2,15.7417,2,2
383,0,3,0,32.0,0,0,7.925,1,2
384,1,1,3,35.0,1,0,52.0,1,2
385,0,3,0,30.0,0,0,7.8958,1,2
386,0,2,0,18.0,0,0,73.5,1,2
387,0,3,0,1.0,5,2,46.9,1,2
388,1,2,3,36.0,0,0,13.0,1,2
389,0,3,0,30.0,0,0,7.7292,4,2
390,1,2,3,17.0,0,0,12.0,2,2
391,1,1,0,36.0,1,2,120.0,1,9
392,1,3,0,21.0,0,0,7.7958,1,2
393,0,3,0,28.0,2,0,7.925,1,2
394,1,1,3,23.0,1,0,113.275,2,7
395,1,3,3,24.0,0,2,16.7,1,6
396,0,3,0,22.0,0,0,7.7958,1,2
397,0,3,3,31.0,0,0,7.8542,1,2
398,0,2,0,46.0,0,0,26.0,1,2
399,0,2,0,23.0,0,0,10.5,1,2
400,1,2,3,28.0,0,0,12.65,1,2
401,1,3,0,39.0,0,0,7.925,1,2
402,0,3,0,26.0,0,0,8.05,1,2
403,0,3,3,21.0,1,0,9.825,1,2
404,0,3,0,28.0,1,0,15.85,1,2
405,0,3,3,20.0,0,0,8.6625,1,2
406,0,2,0,34.0,1,0,21.0,1,2
407,0,3,0,51.0,0,0,7.75,1,2
408,1,2,0,3.0,1,1,18.75,1,2
409,0,3,0,21.0,0,0,7.775,1,2
410,0,3,3,30.0,3,1,25.4667,1,2
411,0,3,0,30.0,0,0,7.8958,1,2
412,0,3,0,30.0,0,0,6.8583,4,2
413,1,1,3,33.0,1,0,90.0,4,2
414,0,2,0,30.0,0,0,0.0,1,2
415,1,3,0,44.0,0,0,7.925,1,2
416,0,3,3,30.0,0,0,8.05,1,2
417,1,2,3,34.0,1,1,32.5,1,2
418,1,2,3,18.0,0,2,13.0,1,2
419,0,2,0,30.0,0,0,13.0,1,2
420,0,3,3,10.0,0,2,24.15,1,2
421,0,3,0,30.0,0,0,7.8958,2,2
422,0,3,0,21.0,0,0,7.7333,4,2
423,0,3,0,29.0,0,0,7.875,1,2
424,0,3,3,28.0,1,1,14.4,1,2
425,0,3,0,18.0,1,1,20.2125,1,2
426,0,3,0,30.0,0,0,7.25,1,2
427,1,2,3,28.0,1,0,26.0,1,2
428,1,2,3,19.0,0,0,26.0,1,2
429,0,3,0,30.0,0,0,7.75,4,2
430,1,3,0,32.0,0,0,8.05,1,5
431,1,1,0,28.0,0,0,26.55,1,2
432,1,3,3,30.0,1,0,16.1,1,2
433,1,2,3,42.0,1,0,26.0,1,2
434,0,3,0,17.0,0,0,7.125,1,2
435,0,1,0,50.0,1,0,55.9,1,5
436,1,1,3,14.0,1,2,120.0,1,9
437,0,3,3,21.0,2,2,34.375,1,2
438,1,2,3,24.0,2,3,18.75,1,2
439,0,1,0,64.0,1,4,263.0,1,2
440,0,2,0,31.0,0,0,10.5,1,2
441,1,2,3,45.0,1,1,26.25,1,2
442,0,3,0,20.0,0,0,9.5,1,2
443,0,3,0,25.0,1,0,7.775,1,2
444,1,2,3,28.0,0,0,13.0,1,2
445,1,3,0,30.0,0,0,8.1125,1,2
446,1,1,0,4.0,0,2,81.8583,1,8
447,1,2,3,13.0,0,1,19.5,1,2
448,1,1,0,34.0,0,0,26.55,1,2
449,1,3,3,5.0,2,1,19.2583,2,2
450,1,1,0,52.0,0,0,30.5,1,2
451,0,2,0,36.0,1,2,27.75,1,2
452,0,3,0,30.0,1,0,19.9667,1,2
453,0,1,0,30.0,0,0,27.75,2,2
454,1,1,0,49.0,1,0,89.1042,2,2
455,0,3,0,30.0,0,0,8.05,1,2
456,1,3,0,29.0,0,0,7.8958,2,2
457,0,1,0,65.0,0,0,26.55,1,5
458,1,1,3,30.0,1,0,51.8625,1,7
459,1,2,3,50.0,0,0,10.5,1,2
460,0,3,0,30.0,0,0,7.75,4,2
461,1,1,0,48.0,0,0,26.55,1,5
462,0,3,0,34.0,0,0,8.05,1,2
463,0,1,0,47.0,0,0,38.5,1,5
464,0,2,0,48.0,0,0,13.0,1,2
465,0,3,0,30.0,0,0,8.05,1,2
466,0,3,0,38.0,0,0,7.05,1,2
467,0,2,0,30.0,0,0,0.0,1,2
468,0,1,0,56.0,0,0,26.55,1,2
469,0,3,0,30.0,0,0,7.725,4,2
470,1,3,3,1.0,2,1,19.2583,2,2
471,0,3,0,30.0,0,0,7.25,1,2
472,0,3,0,38.0,0,0,8.6625,1,2
473,1,2,3,33.0,1,2,27.75,1,2
474,1,2,3,23.0,0,0,13.7917,2,7
475,0,3,3,22.0,0,0,9.8375,1,2
476,0,1,0,30.0,0,0,52.0,1,8
477,0,2,0,34.0,1,0,21.0,1,2
478,0,3,0,29.0,1,0,7.0458,1,2
479,0,3,0,22.0,0,0,7.5208,1,2
480,1,3,3,2.0,0,1,12.2875,1,2
481,0,3,0,9.0,5,2,46.9,1,2
482,0,2,0,30.0,0,0,0.0,1,2
483,0,3,0,50.0,0,0,8.05,1,2
484,1,3,3,63.0,0,0,9.5875,1,2
485,1,1,0,25.0,1,0,91.0792,2,9
486,0,3,3,30.0,3,1,25.4667,1,2
487,1,1,3,35.0,1,0,90.0,1,2
488,0,1,0,58.0,0,0,29.7,2,9
489,0,3,0,30.0,0,0,8.05,1,2
490,1,3,0,9.0,1,1,15.9,1,2
491,0,3,0,30.0,1,0,19.9667,1,2
492,0,3,0,21.0,0,0,7.25,1,2
493,0,1,0,55.0,0,0,30.5,1,2
494,0,1,0,71.0,0,0,49.5042,2,2
495,0,3,0,21.0,0,0,8.05,1,2
496,0,3,0,30.0,0,0,14.4583,2,2
497,1,1,3,54.0,1,0,78.2667,2,7
498,0,3,0,30.0,0,0,15.1,1,2
499,0,1,3,25.0,1,2,151.55,1,2
500,0,3,0,24.0,0,0,7.7958,1,2
501,0,3,0,17.0,0,0,8.6625,1,2
502,0,3,3,21.0,0,0,7.75,4,2
503,0,3,3,30.0,0,0,7.6292,4,2
504,0,3,3,37.0,0,0,9.5875,1,2
505,1,1,3,16.0,0,0,86.5,1,9
506,0,1,0,18.0,1,0,108.9,2,2
507,1,2,3,33.0,0,2,26.0,1,2
508,1,1,0,30.0,0,0,26.55,1,2
509,0,3,0,28.0,0,0,22.525,1,2
510,1,3,0,26.0,0,0,56.4958,1,2
511,1,3,0,29.0,0,0,7.75,4,2
512,0,3,0,30.0,0,0,8.05,1,2
513,1,1,0,36.0,0,0,26.2875,1,5
514,1,1,3,54.0,1,0,59.4,2,2
515,0,3,0,24.0,0,0,7.4958,1,2
516,0,1,0,47.0,0,0,34.0208,1,7
517,1,2,3,34.0,0,0,10.5,1,10
518,0,3,0,30.0,0,0,24.15,4,2
519,1,2,3,36.0,1,0,26.0,1,2
520,0,3,0,32.0,0,0,7.8958,1,2
521,1,1,3,30.0,0,0,93.5,1,9
522,0,3,0,22.0,0,0,7.8958,1,2
523,0,3,0,30.0,0,0,7.225,2,2
524,1,1,3,44.0,0,1,57.9792,2,9
525,0,3,0,30.0,0,0,7.2292,2,2
526,0,3,0,40.0,0,0,7.75,4,2
527,1,2,3,50.0,0,0,10.5,1,2
528,0,1,0,30.0,0,0,221.7792,1,2
529,0,3,0,39.0,0,0,7.925,1,2
530,0,2,0,23.0,2,1,11.5,1,2
531,1,2,3,2.0,1,1,26.0,1,2
532,0,3,0,30.0,0,0,7.2292,2,2
533,0,3,0,17.0,1,1,7.2292,2,2
534,1,3,3,30.0,0,2,22.3583,2,2
535,0,3,3,30.0,0,0,8.6625,1,2
536,1,2,3,7.0,0,2,26.25,1,2
537,0,1,0,45.0,0,0,26.55,1,9
538,1,1,3,30.0,0,0,106.425,2,2
539,0,3,0,30.0,0,0,14.5,1,2
540,1,1,3,22.0,0,2,49.5,2,9
541,1,1,3,36.0,0,2,71.0,1,9
542,0,3,3,9.0,4,2,31.275,1,2
543,0,3,3,11.0,4,2,31.275,1,2
544,1,2,0,32.0,1,0,26.0,1,2
545,0,1,0,50.0,1,0,106.425,2,2
546,0,1,0,64.0,0,0,26.0,1,2
547,1,2,3,19.0,1,0,26.0,1,2
548,1,2,0,30.0,0,0,13.8625,2,2
549,0,3,0,33.0,1,1,20.525,1,2
550,1,2,0,8.0,1,1,36.75,1,2
551,1,1,0,17.0,0,2,110.8833,2,2
552,0,2,0,27.0,0,0,26.0,1,2
553,0,3,0,30.0,0,0,7.8292,4,2
554,1,3,0,22.0,0,0,7.225,2,2
555,1,3,3,22.0,0,0,7.775,1,2
556,0,1,0,62.0,0,0,26.55,1,2
557,1,1,3,48.0,1,0,39.6,2,8
558,0,1,0,30.0,0,0,227.525,2,2
559,1,1,3,39.0,1,1,79.65,1,5
560,1,3,3,36.0,1,0,17.4,1,2
561,0,3,0,30.0,0,0,7.75,4,2
562,0,3,0,40.0,0,0,7.8958,1,2
563,0,2,0,28.0,0,0,13.5,1,2
564,0,3,0,30.0,0,0,8.05,1,2
565,0,3,3,30.0,0,0,8.05,1,2
566,0,3,0,24.0,2,0,24.15,1,2
567,0,3,0,19.0,0,0,7.8958,1,2
568,0,3,3,29.0,0,4,21.075,1,2
569,0,3,0,30.0,0,0,7.2292,2,2
570,1,3,0,32.0,0,0,7.8542,1,2
571,1,2,0,62.0,0,0,10.5,1,2
572,1,1,3,53.0,2,0,51.4792,1,2
